Date;Open;High;Low;Close;Adj Close;Volume
31.07.2023;34.700001;36.500000;34.700001;36.000000;36.000000;8077
02.08.2023;36.349998;36.349998;35.099998;35.299999;35.299999;31039
03.08.2023;35.400002;35.450001;34.900002;34.900002;34.900002;5983
04.08.2023;35.099998;35.200001;34.599998;34.599998;34.599998;3221
07.08.2023;34.750000;34.750000;34.099998;34.250000;34.250000;3982
08.08.2023;34.400002;34.400002;33.900002;34.049999;34.049999;4034
09.08.2023;34.349998;34.349998;33.700001;33.900002;33.900002;4173
10.08.2023;34.049999;34.200001;33.500000;33.549999;33.549999;2973
11.08.2023;33.750000;33.750000;33.000000;33.099998;33.099998;4759
14.08.2023;33.299999;33.299999;32.450001;32.799999;32.799999;4671
15.08.2023;32.799999;32.900002;32.349998;32.650002;32.650002;3548
16.08.2023;32.500000;32.700001;32.450001;32.549999;32.549999;756
17.08.2023;32.700001;32.700001;32.200001;32.349998;32.349998;4074
18.08.2023;32.500000;32.500000;31.299999;31.799999;31.799999;5665
21.08.2023;31.950001;32.599998;31.650000;31.650000;31.650000;3528
22.08.2023;31.600000;31.600000;31.200001;31.250000;31.250000;6153
23.08.2023;31.350000;32.549999;31.350000;32.450001;32.450001;2513
24.08.2023;32.450001;32.799999;31.299999;31.299999;31.299999;6031
25.08.2023;31.450001;31.600000;30.750000;30.799999;30.799999;2995
28.08.2023;30.900000;31.500000;30.750000;31.100000;31.100000;4343
29.08.2023;31.250000;31.750000;31.150000;31.750000;31.750000;3233
30.08.2023;31.900000;32.000000;31.250000;31.250000;31.250000;2851
31.08.2023;31.400000;32.000000;31.299999;31.650000;31.650000;2224
01.09.2023;31.799999;31.850000;31.250000;31.549999;31.549999;2036
04.09.2023;31.900000;31.900000;31.150000;31.150000;31.150000;2615
05.09.2023;31.299999;31.350000;31.000000;31.000000;31.000000;2477
06.09.2023;31.000000;31.000000;30.000000;30.000000;30.000000;6517
07.09.2023;30.150000;30.650000;30.000000;30.049999;30.049999;5316
08.09.2023;30.000000;30.600000;30.000000;30.600000;30.600000;3138
11.09.2023;30.500000;30.900000;30.100000;30.150000;30.150000;2930
12.09.2023;30.000000;30.850000;29.900000;30.299999;30.299999;12021
13.09.2023;30.450001;30.750000;30.299999;30.400000;30.400000;5222
14.09.2023;30.799999;32.000000;30.450001;30.850000;30.850000;6505
15.09.2023;30.700001;31.150000;30.150000;30.150000;30.150000;8052
