Date;Open;High;Low;Close;Adj Close;Volume
31.07.2023;56.020000;56.250000;55.529999;55.529999;55.529999;1473573
01.08.2023;55.570000;55.750000;55.230000;55.290001;55.290001;926958
02.08.2023;55.049999;55.439999;54.750000;55.380001;55.380001;1506391
03.08.2023;54.959999;55.070000;54.230000;54.500000;54.500000;1240161
04.08.2023;54.389999;54.490002;53.660000;54.200001;54.200001;1148217
07.08.2023;null;null;null;null;null;null
08.08.2023;54.389999;54.860001;54.240002;54.509998;54.509998;833846
09.08.2023;54.700001;55.080002;54.650002;54.910000;54.910000;670601
10.08.2023;55.099998;55.470001;55.040001;55.060001;55.060001;1470658
11.08.2023;54.930000;54.950001;54.480000;54.529999;54.529999;1056915
14.08.2023;54.680000;54.910000;54.570000;54.910000;54.910000;647903
15.08.2023;54.470001;54.709999;53.820000;53.900002;53.900002;1007084
16.08.2023;53.330002;53.820000;53.250000;53.730000;53.730000;987352
17.08.2023;53.490002;53.560001;53.169998;53.259998;53.259998;1080102
18.08.2023;53.099998;53.290001;52.900002;53.189999;53.189999;1165129
21.08.2023;53.130001;53.720001;52.900002;53.060001;53.060001;1016617
22.08.2023;53.090000;53.220001;52.630001;52.630001;52.630001;971613
23.08.2023;52.790001;53.310001;52.709999;52.900002;52.900002;759261
24.08.2023;53.230000;53.580002;53.220001;53.259998;53.259998;777860
25.08.2023;53.160000;53.790001;53.160000;53.509998;53.509998;504193
28.08.2023;53.750000;53.970001;53.509998;53.779999;53.779999;693942
29.08.2023;53.889999;54.279999;53.660000;53.669998;53.669998;892341
30.08.2023;53.820000;54.259998;53.650002;53.959999;53.959999;700495
31.08.2023;54.060001;54.330002;53.830002;53.830002;53.830002;1599711
01.09.2023;53.689999;54.119999;53.540001;53.759998;53.759998;721752
04.09.2023;53.810001;53.980000;53.130001;53.369999;53.369999;591291
05.09.2023;53.180000;53.180000;52.590000;52.790001;52.790001;776184
06.09.2023;52.570000;52.860001;52.180000;52.730000;52.730000;799791
07.09.2023;52.369999;53.310001;52.360001;53.220001;53.220001;995334
08.09.2023;53.340000;53.580002;52.980000;53.570000;53.570000;729767
11.09.2023;53.770000;54.209999;53.680000;54.200001;54.200001;1086044
12.09.2023;54.419998;54.419998;53.500000;53.529999;53.529999;723622
13.09.2023;53.490002;53.599998;52.910000;53.200001;53.200001;973884
14.09.2023;53.160000;53.500000;52.820000;53.490002;53.490002;1711672
15.09.2023;53.970001;54.049999;53.369999;53.790001;53.790001;2753138
